tweet_id,timestamp,text,rating_numerator,rating_denominator,name,dog_stage,favorite_count,retweet_count,img_num,p1,p1_conf,p2,p2_conf,p3,p3_conf,p_dogs
892420643555336193,2017-08-01 16:23:56,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,Phineas,,39467,8853,1.0,orange,0.0970486,banana,0.08585110000000001,banana,0.07611,no prediction
892177421306343426,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,,33819,6514,1.0,chihuahua,0.323581,papillon,0.0906465,papillon,0.0689569,p1_dog
891815181378084864,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,,25461,4328,1.0,chihuahua,0.716012,kelpie,0.078253,kelpie,0.0313789,p1_dog
891689557279858688,2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,,42908,8964,1.0,paper towel,0.17027799999999998,spatula,0.168086,spatula,0.0408359,p2_dog
891327558926688256,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,,41048,9774,2.0,basset,0.555712,german short-haired pointer,0.22577,German short-haired pointer,0.175219,p1_dog
891087950875897856,2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,None,,20562,3261,1.0,chesapeake bay retriever,0.425595,indian elephant,0.116317,Indian elephant,0.07690219999999999,p1_dog
890971913173991426,2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,,12041,2158,1.0,appenzeller,0.34170300000000003,ice lolly,0.199287,ice lolly,0.193548,p1_dog
890729181411237888,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,None,,56848,16716,2.0,pomeranian,0.566142,pembroke,0.17840599999999998,Pembroke,0.0765069,p1_dog
890609185150312448,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,,28226,4429,1.0,irish terrier,0.487574,chesapeake bay retriever,0.193054,Chesapeake Bay retriever,0.118184,p1_dog
890240255349198849,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,doggo,32467,7711,1.0,pembroke,0.511319,chihuahua,0.451038,Chihuahua,0.0292482,p1_dog
890006608113172480,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,Koda,,31166,7624,1.0,samoyed,0.957979,chow,0.0138835,chow,0.00816748,p1_dog
889880896479866881,2017-07-25 16:11:53,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13,10,Bruno,,28268,5156,1.0,french bulldog,0.377417,muzzle,0.151317,muzzle,0.0829811,p1_dog
889665388333682689,2017-07-25 01:55:32,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13,10,None,puppo,38818,8538,1.0,pembroke,0.966327,basenji,0.0273557,basenji,0.00463323,p1_dog
889638837579907072,2017-07-25 00:10:02,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12,10,Ted,,27672,4735,1.0,french bulldog,0.99165,staffordshire bullterrier,0.00212864,Staffordshire bullterrier,0.00149818,p1_dog
889531135344209921,2017-07-24 17:02:04,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13,10,Stuart,puppo,15359,2321,1.0,golden retriever,0.953442,redbone,0.0138341,redbone,0.00795775,p1_dog
889278841981685760,2017-07-24 00:19:32,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13,10,Oliver,,25652,5637,1.0,whippet,0.626152,saluki,0.194742,Saluki,0.0273507,p1_dog
888917238123831296,2017-07-23 00:22:39,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12,10,Jim,,29611,4709,1.0,golden retriever,0.714719,labrador retriever,0.120184,Labrador retriever,0.105506,p1_dog
888804989199671297,2017-07-22 16:56:37,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13,10,Zeke,,26080,4559,1.0,golden retriever,0.46976,english setter,0.184172,English setter,0.0734817,p1_dog
888554962724278272,2017-07-22 00:23:06,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13,10,Ralphus,,20290,3732,3.0,siberian husky,0.700377,malamute,0.166511,malamute,0.111411,p1_dog
888202515573088257,2017-07-21 01:02:36,RT @dog_rates: This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,13,10,Canela,,0,0,2.0,pembroke,0.809197,beagle,0.05495,beagle,0.0389148,p1_dog
888078434458587136,2017-07-20 16:49:33,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,12,10,Gerald,,22201,3653,1.0,french bulldog,0.995026,bull mastiff,0.000931908,bull mastiff,0.000903211,p1_dog
887705289381826560,2017-07-19 16:06:48,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,13,10,Jeffrey,,30779,5609,1.0,basset,0.821664,weimaraner,0.0875815,Weimaraner,0.026236400000000003,p1_dog
887517139158093824,2017-07-19 03:39:09,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,14,10,,,46959,12082,1.0,limousine,0.130432,shopping cart,0.0291754,shopping cart,0.0263208,no prediction
887473957103951883,2017-07-19 00:47:34,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,13,10,Canela,,69871,18781,2.0,pembroke,0.809197,beagle,0.05495,beagle,0.0389148,p1_dog
887343217045368832,2017-07-18 16:08:03,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,13,10,None,,34222,10737,1.0,mexican hairless,0.330741,weimaraner,0.275645,Weimaraner,0.134203,p1_dog
887101392804085760,2017-07-18 00:07:08,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,12,10,None,,31061,6167,1.0,samoyed,0.733942,staffordshire bullterrier,0.0350295,Staffordshire bullterrier,0.029704700000000007,p1_dog
886983233522544640,2017-07-17 16:17:36,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,13,10,Maya,,35859,8084,2.0,chihuahua,0.793469,can opener,0.143528,can opener,0.0322529,p1_dog
886736880519319552,2017-07-16 23:58:41,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",13,10,Mingus,,12306,3443,1.0,kuvasz,0.309706,dandie dinmont,0.186136,Dandie Dinmont,0.08634630000000001,p1_dog
886680336477933568,2017-07-16 20:14:00,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,13,10,Derek,,22798,4610,1.0,convertible,0.738995,car wheel,0.139952,car wheel,0.0441727,no prediction
886366144734445568,2017-07-15 23:25:31,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,12,10,Roscoe,pupper,21524,3316,1.0,french bulldog,0.999201,boston bull,0.000361178,Boston bull,7.55616e-05,p1_dog
